Image,Field,Field1,Field2,Price,Field3,avg_price,avg_shipping
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/h2EAAOSwDkZiaaum/$_1.JPG?set_id=8800005007,https://www.ebay.com/itm/363428232505?nordt=true&orig_cvip=true&rt=nc,Vintage Kershaw Japan Easy Rider 2004 Gentleman 2 Blade Folding Pocket Knife,18,$629.10,"Aug 1, 2022",$34.95,$11.21
https://thumbs.ebaystatic.com/pict/1547185635766464_1.jpg,,,9,$920.00,"Feb 1, 2022",$102.22,$0.00
https://thumbs.ebaystatic.com/pict/2034624927756464_1.jpg,,,10,$119.90,"Dec 4, 2021",$11.99,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/9YMAAOSwkUpikl~M/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/203488619643?nordt=true&orig_cvip=true&rt=nc,Vtg Kershaw Kai 5300 Seki Japan Gentleman SS Pearl Folding Lockback Pocket Knife,12,$291.95,"Aug 26, 2022",$24.33,$17.40
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/MwwAAOSw3t9ihDxE/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/363313999806?nordt=true&orig_cvip=true&rt=nc,Vtg Kershaw by Kai 1040 Seki Japan Bone Folding Field II Hunter Lockback Knife,12,"$1,559.40","Aug 7, 2022",$129.95,$31.74
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/2t4AAOSwkFBgwQfS/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/363429070482?nordt=true&orig_cvip=true&rt=nc,Vtg Kershaw Kai 5700 Seki Japan Gentleman Lacquer 2 Blade Folding Pocket Knife,9,$242.55,"Aug 1, 2022",$26.95,$0.00
https://thumbs.ebaystatic.com/pict/2036302588976464_1.jpg,,,8,$254.60,"Oct 5, 2021",$31.83,$0.00
https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/-ZwAAOSwFLxh3z-o/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/233975821984?nordt=true&orig_cvip=true&rt=nc,Kershaw SpeedSafe 1660 Ken Onion Design Folding Pocket Knife Stainless Steel,8,$276.78,"Aug 9, 2022",$34.60,$0.00
https://thumbs.ebaystatic.com/pict/2739823748516464_1.jpg,https://www.ebay.com/itm/273982374851?nordt=true&orig_cvip=true&rt=nc,"KERSHAW usa ""Discontinued"" - TIGER STRIPE Blur spring assist knife 1670BLKTS",9,$524.90,"Feb 16, 2022",$58.32,$0.00
https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/5MoAAOSwnc1hz1qU/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/232755588313?nordt=true&orig_cvip=true&rt=nc,Kershaw 1600 Chive Onion Design Folding Pocket Knife Plain Edge Frame Assisted,7,$221.98,"Jul 17, 2022",$31.71,$0.00
https://thumbs.ebaystatic.com/pict/2340079610716464_1.jpg,,,7,$71.52,"Mar 9, 2022",$10.22,$0.00
https://thumbs.ebaystatic.com/pict/2653116019046464_1.jpg,,,7,$165.53,"Mar 12, 2022",$23.65,$5.70
https://thumbs.ebaystatic.com/pict/3847426713826464_1.jpg,,,7,$187.85,"Feb 19, 2022",$26.84,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/9uUAAOSwbzBihC5U/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/402737200930?nordt=true&orig_cvip=true&rt=nc,Vtg Kershaw by Kai 1040 Seki Japan Wood Folding Field II Hunter Lockback Knife,7,$822.14,"Aug 26, 2022",$117.45,$29.47
https://thumbs.ebaystatic.com/pict/4031779385736464_1.jpg,https://www.ebay.com/itm/403177938573?nordt=true&orig_cvip=true&rt=nc,"Vtg Kershaw Kai 2120 Macho Seki Japan Bone 4"" Folding Lockback Pocket Knife",9,"$1,016.55","Mar 11, 2022",$112.95,$0.00
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/4tkAAOSwF6xi2dm8/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/155089922592?nordt=true&orig_cvip=true&rt=nc,1 Kershaw 1660ST LEEK Knife Camping   airport confiscation DUTCH     LOT1511,6,$180.00,"Jul 30, 2022",$30.00,$6.00
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/YGEAAOSwPsdiE~La/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/185307381586?nordt=true&orig_cvip=true&rt=nc,Kershaw 1990 Brawler Tanto Speedsafe Assisted Liner Lock Knife,6,$94.34,"Jul 10, 2022",$15.72,$4.08
https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/ekgAAOSwMq9gW3q5/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/333932780391?nordt=true&orig_cvip=true&rt=nc,Kershaw Hotwire 1310WM Folding Pocket Knife Assisted Wharncliffe Plain Liner Blk,6,$126.62,"Jun 20, 2022",$21.10,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/2NUAAOSwSqZgwkJM/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/402912714079?nordt=true&orig_cvip=true&rt=nc,Vtg Kershaw Kai 5800 Seki Japan Gentleman Lacquer Bottle Folding Pocket Knife,6,$149.70,"Jun 22, 2022",$24.95,$0.00
https://thumbs.ebaystatic.com/pict/4029127141266464_1.jpg,https://www.ebay.com/itm/402912714126?nordt=true&orig_cvip=true&rt=nc,Vtg Kershaw Kai 5800 Seki Japan Gentleman Bottle Stainless Folding Pocket Knife,6,$137.70,"Nov 27, 2021",$22.95,$20.24
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/3mkAAOSw7U5iklYy/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/402916999815?nordt=true&orig_cvip=true&rt=nc,Vtg Kershaw Kai 5600 Seki Japan Gentleman Pearl 3 Blade Folding Pocket Knife,6,$203.70,"Aug 1, 2022",$33.95,$9.59
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/CUEAAOSwF19iklHP/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/203487868602?nordt=true&orig_cvip=true&rt=nc,Vtg Kershaw Kai 5010 Seki Japan Gentleman 2 Blade Folding Pocket Pen Knife,5,$128.75,"Aug 5, 2022",$25.75,$0.00
https://thumbs.ebaystatic.com/pict/2036040476136464_1.jpg,,,5,$114.95,"Oct 19, 2021",$22.99,$0.00
https://thumbs.ebaystatic.com/pict/2342823087316464_1.jpg,,,5,$75.00,"Nov 17, 2021",$15.00,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/7PIAAOSwojZiTzHR/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/334240363096?nordt=true&orig_cvip=true&rt=nc,Kershaw 1670BLK Blur Folding Pocket Knife Spring Assisted Combo Liner Aluminum,5,$208.33,"Jul 8, 2022",$41.67,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/8j4AAOSwxBxgwPx6/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/363429037002?nordt=true&orig_cvip=true&rt=nc,Vtg Kershaw Kai 5300 Seki Japan Gentleman Wood Folding Lockback Pocket Knife,7,$160.65,"Aug 15, 2022",$22.95,$0.00
https://thumbs.ebaystatic.com/pict/1548586765116464_1.jpg,,,11,$275.00,"Feb 20, 2022",$25.00,$0.00
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/ji8AAOSwrXhirpdI/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/185446319788?nordt=true&orig_cvip=true&rt=nc,Kershaw 1660 Leek Pocket Knife Stainless Plain Edge Assisted Opening Ken Onion,4,$128.96,"Aug 2, 2022",$32.24,$5.00
https://thumbs.ebaystatic.com/pict/2035645701216464_1.jpg,,,5,$95.75,"Jan 12, 2022",$19.15,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/Qz8AAOSwfBJitLid/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204005163795?nordt=true&orig_cvip=true&rt=nc,Kershaw Cinder 1025 Folding Pocket Knife & Bottle Opener - Key Chain Knife,4,$37.00,"Jul 23, 2022",$9.25,$0.00
https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/NuMAAOSwShlh3Jve/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/333706584216?nordt=true&orig_cvip=true&rt=nc,Kershaw Shuffle Model 8700 KAI Folding Pocket Knife Glass Filled Nylon Handle,4,$70.00,"Aug 25, 2022",$17.50,$0.00
https://thumbs.ebaystatic.com/pict/1253411323346464_1.jpg,,,3,$47.97,"May 31, 2022",$15.99,$5.30
https://thumbs.ebaystatic.com/pict/1750435780796464_1.jpg,,,4,$32.07,"Feb 21, 2022",$8.02,$0.00
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/m08AAOSwtuZi9dBW/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/185445221251?nordt=true&orig_cvip=true&rt=nc,Kershaw Blackout 1550 Ken Onion USA Made Folding Knife,3,$269.97,"Aug 16, 2022",$89.99,$5.10
https://thumbs.ebaystatic.com/pict/2029881011416464_1.jpg,,,3,$65.00,"Apr 6, 2022",$21.67,$5.47
https://thumbs.ebaystatic.com/pict/2034898193516464_1.jpg,https://www.ebay.com/itm/203489819351?nordt=true&orig_cvip=true&rt=nc,Vtg Kershaw Kai 5800 Seki Japan Gentleman Wood Bottle Open Folding Pocket Knife,3,$74.85,"Dec 5, 2021",$24.95,$0.00
https://thumbs.ebaystatic.com/pict/2036040310746464_1.jpg,,,3,$65.97,"Oct 9, 2021",$21.99,$0.00
https://thumbs.ebaystatic.com/pict/2036040366826464_1.jpg,,,3,$57.98,"Nov 12, 2021",$19.33,$0.00
https://thumbs.ebaystatic.com/pict/2036040488706464_1.jpg,,,3,$65.97,"Sep 26, 2021",$21.99,$0.00
https://thumbs.ebaystatic.com/pict/2036040499866464_1.jpg,,,4,$91.96,"Dec 22, 2021",$22.99,$0.00
https://thumbs.ebaystatic.com/pict/2036185148446464_1.jpg,,,3,$56.85,"Feb 13, 2022",$18.95,$0.00
https://thumbs.ebaystatic.com/pict/2037116984126464_1.jpg,,,3,$47.97,"Feb 15, 2022",$15.99,$0.00
https://thumbs.ebaystatic.com/pict/2038096610816464_1.jpg,,,3,$33.97,"Feb 11, 2022",$11.32,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/zVYAAOSw5qFh9Yc7/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/203809678559?nordt=true&orig_cvip=true&rt=nc,Kershaw A/O Kuro 1835TBLKST Folding Pocket Knife - K185,3,$59.97,"Aug 1, 2022",$19.99,$0.00
https://thumbs.ebaystatic.com/pict/2341462443286464_1.jpg,,,3,$45.22,"Oct 24, 2021",$15.07,$0.00
https://thumbs.ebaystatic.com/pict/2341996478076464_1.jpg,,,3,$66.23,"Dec 30, 2021",$22.08,$0.00
https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/sdEAAOSwdvFgZIYJ/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/333941358540?nordt=true&orig_cvip=true&rt=nc,Kershaw 3800 Black Shuffle Folding Pocket Knife Plain Edge Liner Lock Black FRN,3,$49.52,"Aug 27, 2022",$16.51,$0.00
https://thumbs.ebaystatic.com/pict/3341969082926464_1.jpg,,,3,$58.82,"Jan 2, 2022",$19.61,$0.00
https://thumbs.ebaystatic.com/pict/3342790688796464_1.jpg,,,3,$103.66,"Apr 29, 2022",$34.55,$0.00
https://thumbs.ebaystatic.com/pict/3537665584566464_1.jpg,,,3,$68.37,"Feb 12, 2022",$22.79,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/efQAAOSwgVhikkh8/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/363429070480?nordt=true&orig_cvip=true&rt=nc,Vtg Kershaw Kai 5700 Seki Japan Gentleman Wood 2 Blade Folding Pocket Knife,3,$73.85,"Aug 1, 2022",$24.62,$0.00
https://thumbs.ebaystatic.com/pict/4036800375286464_1.jpg,https://www.ebay.com/itm/403680037528?nordt=true&orig_cvip=true&rt=nc,Vintage Kershaw 3115 Corral Creek Seki Japan Folding Lockback Pocket Knife,3,$74.85,"May 31, 2022",$24.95,$0.00
https://thumbs.ebaystatic.com/pict/1146832711466464_1.jpg,,,2,$39.90,"Dec 20, 2021",$19.95,$4.75
https://i.ebayimg.com/00/s/MTA0NVgxMzYy/z/NAEAAOSwPYhhEugP/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/114930454407?nordt=true&orig_cvip=true&rt=nc,Kershaw Speedsafe Axle 1331BW BlackWash Flipper Speed Pocket Knife -- Great Cond,2,$54.98,"Aug 22, 2022",$27.49,$7.49
https://thumbs.ebaystatic.com/pict/1150150376246464_1.jpg,,,2,$51.00,"Dec 3, 2021",$25.50,$10.84
https://thumbs.ebaystatic.com/pict/1151582850016464_1.jpg,https://www.ebay.com/itm/115158285001?nordt=true&orig_cvip=true&rt=nc,Kershaw 1600 Ken Onion Speedsafe Chive Safety Lock Knife USA -- Great Condition,2,$59.98,"Mar 15, 2022",$29.99,$5.99
https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/qVAAAOSwEbtiEbpm/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/115259246623?nordt=true&orig_cvip=true&rt=nc,Kershaw Grid Framelock A/O Blade Gray Titanium Coated Handle Folding Knife 2200,2,$53.90,"Jun 4, 2022",$26.95,$0.00
https://thumbs.ebaystatic.com/pict/1152666363926464_1.jpg,,,2,$48.40,"Mar 3, 2022",$24.20,$4.20
https://thumbs.ebaystatic.com/pict/1153174961106464_1.jpg,,,2,$52.00,"Apr 7, 2022",$26.00,$2.19
https://thumbs.ebaystatic.com/pict/1153284093776464_1.jpg,,,2,$99.98,"Apr 12, 2022",$49.99,$4.99
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/mD4AAOSw~ixiadyW/$_57.JPG?set_id=880000500F,https://www.ebay.com/itm/115362654602?nordt=true&orig_cvip=true&rt=nc,KERSHAW - Select Fire KNIFE w/ SCREW-DRIVER SET - Multi-Tool bit BLACK k ks 1920,2,$70.00,"Jun 3, 2022",$35.00,$0.00
https://thumbs.ebaystatic.com/pict/1153663440386464_1.jpg,,,2,$80.00,"May 11, 2022",$40.00,$5.50
https://i.ebayimg.com/00/s/MTYwMFg0ODY=/z/bOcAAOSwWuBipV5F/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/115421485247?nordt=true&orig_cvip=true&rt=nc,Kershaw 1660ST Leek - Folding Knife ,2,$55.00,"Jul 9, 2022",$27.50,$13.00
https://i.ebayimg.com/00/s/MTU5OVgxNjAw/z/GN0AAOSwbHFigRFT/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/115432753030?nordt=true&orig_cvip=true&rt=nc,USA Kershaw Zing 1735 Milled 14C28N Steel Blade DisCntd & Rare EDC Folding Knife,2,$306.63,"Jun 29, 2022",$153.32,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/5eMAAOSwMCZi2X3a/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/115471205209?nordt=true&orig_cvip=true&rt=nc, KERSHAW EMERSON 6034T USCCA EDITION FRAME LOCK PLAIN EDGE TANTO BLADE KNIFE,2,$120.00,"Jul 23, 2022",$60.00,$0.00
https://thumbs.ebaystatic.com/pict/1248857785446464_1.jpg,,,2,$35.98,"Sep 16, 2021",$17.99,$4.38
https://thumbs.ebaystatic.com/pict/1249312606486464_1.jpg,,,2,$45.98,"Oct 10, 2021",$22.99,$5.20
https://thumbs.ebaystatic.com/pict/1251126618336464_1.jpg,,,2,$83.00,"Mar 17, 2022",$41.50,$7.75
https://thumbs.ebaystatic.com/pict/1251174293776464_1.jpg,,,2,$29.98,"Mar 3, 2022",$14.99,$4.90
https://thumbs.ebaystatic.com/pict/1251325783736464_1.jpg,,,2,$80.00,"Feb 11, 2022",$40.00,$6.00
https://thumbs.ebaystatic.com/pict/1251629726846464_1.jpg,,,2,$132.00,"Mar 1, 2022",$66.00,$5.25
https://thumbs.ebaystatic.com/pict/1251635352286464_1.jpg,,,2,$102.00,"Mar 1, 2022",$51.00,$8.95
https://thumbs.ebaystatic.com/pict/1251734947016464_1.jpg,,,2,$29.98,"Feb 28, 2022",$14.99,$4.75
https://thumbs.ebaystatic.com/pict/1252046443466464_1.jpg,,,2,$15.00,"Mar 24, 2022",$7.50,$4.65
https://thumbs.ebaystatic.com/pict/1252117301336464_1.jpg,,,2,$79.98,"Mar 25, 2022",$39.99,$5.50
https://i.ebayimg.com/00/s/MTYwMFg0OTc=/z/aJ4AAOSwk1NiPpp-/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/125223929114?nordt=true&orig_cvip=true&rt=nc,Kershaw 1660CAMO Leek Aluminum Sandvik Stainless - Folding Knife,2,$70.00,"Jun 19, 2022",$35.00,$7.75
https://thumbs.ebaystatic.com/pict/1252270754196464_1.jpg,,,2,$175.00,"Apr 4, 2022",$87.50,$7.50
https://thumbs.ebaystatic.com/pict/1252379980706464_1.jpg,,,2,$20.00,"Apr 10, 2022",$10.00,$5.50
https://thumbs.ebaystatic.com/pict/1252425691856464_1.jpg,,,2,$10.00,"Apr 15, 2022",$5.00,$4.65
https://thumbs.ebaystatic.com/pict/1252498753766464_1.jpg,,,2,$50.00,"Apr 11, 2022",$25.00,$7.75
https://thumbs.ebaystatic.com/pict/1252634012776464_1.jpg,,,2,$16.00,"Apr 23, 2022",$8.00,$5.50
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/9OAAAOSwJbZiZCwk/$_57.JPG?set_id=880000500F,https://www.ebay.com/itm/125276882549?nordt=true&orig_cvip=true&rt=nc,Kershaw 1670BLKST Blur All Black SpeedSafe USA Assisted Folding Knife Used (252),2,$74.98,"Jun 8, 2022",$37.49,$5.33
https://thumbs.ebaystatic.com/pict/1252860852396464_1.jpg,,,2,$26.00,"May 5, 2022",$13.00,$3.00
https://thumbs.ebaystatic.com/pict/1252894140066464_1.jpg,,,2,$12.00,"May 8, 2022",$6.00,$1.10
https://thumbs.ebaystatic.com/pict/1253061655946464_1.jpg,,,2,$251.00,"May 18, 2022",$125.50,$16.10
https://thumbs.ebaystatic.com/pict/1253131829216464_1.jpg,,,2,$44.00,"May 14, 2022",$22.00,$5.25
https://thumbs.ebaystatic.com/pict/1253258131996464_1.jpg,,,2,$87.50,"May 29, 2022",$43.75,$10.70
https://thumbs.ebaystatic.com/pict/1253288207416464_1.jpg,,,2,$19.90,"May 30, 2022",$9.95,$7.50
https://thumbs.ebaystatic.com/pict/1253333339146464_1.jpg,,,2,$50.00,"May 28, 2022",$25.00,$5.50
https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/HmsAAOSwgMJihREg/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/125345099483?nordt=true&orig_cvip=true&rt=nc,Kershaw Speedsafe Zing 1730BWH3 RJ Martin Design Assisted Folding Pocket Knife,2,$38.00,"Jun 10, 2022",$19.00,$5.10
https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/VF8AAOSwyJRiQw6z/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/125345166270?nordt=true&orig_cvip=true&rt=nc,Kershaw 1605CKTST Clash Folding Serrated Knife - Black Excellent Condition,2,$29.00,"Jun 9, 2022",$14.50,$5.50
https://i.ebayimg.com/00/s/MTMxMFgxNjAw/z/sF0AAOSw4xdinAhX/$_57.JPG?set_id=880000500F,https://www.ebay.com/itm/125353132542?nordt=true&orig_cvip=true&rt=nc,"Kershaw Brawler 1990 Assisted Flipper 3"" Folding Plain Blade Knife EDC Used(426)",2,$27.98,"Jun 9, 2022",$13.99,$5.45
https://i.ebayimg.com/00/s/MTMyM1gxNjAw/z/XVYAAOSwiFhipPGu/$_57.JPG?set_id=880000500F,https://www.ebay.com/itm/125364956586?nordt=true&orig_cvip=true&rt=nc,"Kershaw Brawler 1990 Assisted Flipper 3"" Folding Plain Blade Knife EDC Used(461)",2,$27.98,"Jun 19, 2022",$13.99,$5.38
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/3hUAAOSw-15ikDvn/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/125366180190?nordt=true&orig_cvip=true&rt=nc,Snap On Kershaw 1620RDSO Spring Assist Folding Pocket Knife-FP122,2,$55.00,"Jun 21, 2022",$27.50,$5.20
https://i.ebayimg.com/00/s/MTI2MlgxNjAw/z/4x4AAOSwyvVipkpA/$_57.JPG?set_id=880000500F,https://www.ebay.com/itm/125366553242?nordt=true&orig_cvip=true&rt=nc,Kershaw 3840BLK FreeFall All Black GFN Handle Flipper Pocket Knife Used (463),2,$31.98,"Jun 16, 2022",$15.99,$5.10
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/oJQAAOSwKn5ithJS/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/125385484693?nordt=true&orig_cvip=true&rt=nc,KERSHAW SPEEDSAFE BRAWLER 1990 ASSISTED TANTO LINER FOLDING POCKET KNIFE ,2,$16.00,"Jul 2, 2022",$8.00,$5.40
https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/aMoAAOSw-gRiwe7~/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/125399435925?nordt=true&orig_cvip=true&rt=nc,"Knife Lot Used Buck, Kershaw, Camillus .",2,$36.00,"Jul 11, 2022",$18.00,$5.50
https://i.ebayimg.com/00/s/NDg1WDE2MDA=/z/~JgAAOSwGBNiwhkM/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/125399645125?nordt=true&orig_cvip=true&rt=nc,Kershaw Knife #4200 Big Joe Snap On 70TH Anniversary Knife.,2,$54.00,"Jul 8, 2022",$27.00,$0.00
https://i.ebayimg.com/00/s/MTU4OVgxMTk5/z/Qc0AAOSwfc9ixytI/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/125412158982?nordt=true&orig_cvip=true&rt=nc,Kershaw 1605CKTST Clash Folding Serrated Knife - Black,2,$40.00,"Jul 19, 2022",$20.00,$10.00
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/XOUAAOSwgDtizJDd/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/125412319812?nordt=true&orig_cvip=true&rt=nc,"KERSHAW HOTWIRE, SPEEDSAFE OPENING POCKET KNIFE, 1310WM",2,$13.00,"Jul 17, 2022",$6.50,$6.00
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/vKcAAOSw~WJivJgc/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/125415308178?nordt=true&orig_cvip=true&rt=nc,KERSHAW SCALLION 1620FL Assisted  ONION DESIGN PLAIN EDGE FOLDING POCKET KNIFE,2,$60.00,"Jul 21, 2022",$30.00,$5.30
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/js8AAOSwGt1i1A8O/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/125420462627?nordt=true&orig_cvip=true&rt=nc,KERSHAW SPEEDSAFE ASSISTED 1308TANBW LINER LOCK FOLDING POCKET KNIFE ,2,$40.00,"Jul 24, 2022",$20.00,$5.50
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/mXAAAOSwDqtivgLR/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/125462444552?nordt=true&orig_cvip=true&rt=nc,Kershaw 8700 Black Handle Liner Lock Folding Pocket Knife ,2,$21.00,"Aug 23, 2022",$10.50,$5.20
https://i.ebayimg.com/00/s/MTYwMFg1NzE=/z/KnAAAOSwrpFi~aKy/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/125469780519?nordt=true&orig_cvip=true&rt=nc,Kershaw Blur 1670TBLKST - Tanto Assisted Blade - Folding Knife,2,$70.00,"Aug 19, 2022",$35.00,$7.75
https://thumbs.ebaystatic.com/pict/1338637101256464_1.jpg,,,3,$77.55,"Sep 1, 2021",$25.85,$0.00
https://thumbs.ebaystatic.com/pict/1340188620876464_1.jpg,,,2,$19.44,"Feb 18, 2022",$9.72,$5.10
https://thumbs.ebaystatic.com/pict/1340325632516464_1.jpg,,,2,$10.00,"Mar 1, 2022",$5.00,$2.99
https://thumbs.ebaystatic.com/pict/1340376816466464_1.jpg,,,2,$41.04,"Mar 10, 2022",$20.52,$0.00
https://thumbs.ebaystatic.com/pict/1340466536766464_1.jpg,,,2,$29.00,"Mar 13, 2022",$14.50,$0.00
